"BehaviorSpace results (NetLogo 5.0.5)"
"PTM_R.nlogo"
"sire-offspring"
"04/27/2014 11:40:40:533 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","4","0","4"
"[run number]","initial-males","distribution","male-min-resources","distance-trees","x-num-territories","regeneration-time","female-min-resources","age-of-dispersal","stop-ticks","prob-subordinate-win","create-figures","total-trees","table-name1","cost-offspring","initial-females","table-name2","y-num-territories","energy-to-reproduce","export-tables","[step]","length [offspring-sired] of males"
"49","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"50","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"51","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"52","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"53","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"54","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"55","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"56","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"57","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"58","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"59","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"60","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"61","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"62","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"63","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"64","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"65","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"66","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"67","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"68","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"69","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"70","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"71","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"72","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"73","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"74","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"75","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"76","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"77","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"78","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"79","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"80","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"81","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"82","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"83","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"84","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"85","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"86","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"87","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"88","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"89","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"90","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"91","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"92","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"93","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"94","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"95","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"96","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"97","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"98","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"99","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"100","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"101","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"102","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"103","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"104","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"105","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"106","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"107","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"108","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"109","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"110","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"111","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"112","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"113","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"114","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"115","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"116","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"117","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
"118","24","1","5","0.25","5","10","10","10","1000","0.2","false","50","""PTM_offspring""","20","25","""""","5","80","false","1000","24"
